Key_Skills,Job_Title
"Python| Java| Git| Docker| AWS| Kubernetes| CI/CD| SQL",Software Engineer
"Python| R| SQL| TensorFlow| PyTorch| Tableau| Spark| Hadoop",Data Scientist
"Agile| JIRA| Scrum| Product Roadmap| Market Research| SWOT| Balsamiq| Confluence",Product Manager
"Figma| Adobe XD| Sketch| UI Design| UX Research| Prototyping| HTML/CSS| User Testing",UX/UI Designer
"Excel| Financial Modeling| SQL| Power BI| GAAP| SAP| Bloomberg| Forecasting",Financial Analyst
"SEO| Google Analytics| Social Media| PPC| Content Marketing| CRM| Email Marketing| A/B Testing",Marketing Specialist
"Six Sigma| Lean| Project Management| ERP| Supply Chain| KPI| Process Improvement| SAP",Operations Manager
"Recruitment| Employee Relations| HRIS| Labor Law| Performance Management| Payroll| Onboarding| Training",HR Generalist
"CRM| Salesforce| Negotiation| Cold Calling| Lead Generation| Client Relations| Sales Pipeline| Closing",Sales Representative
"Zendesk| CRM| Troubleshooting| Live Chat| Customer Support| Ticketing System| Communication| Problem Solving",Customer Support Specialist
"Cisco| Firewalls| VPN| TCP/IP| DNS| DHCP| Network Security| Troubleshooting",Network Administrator
"Adobe Photoshop| Illustrator| InDesign| Typography| Branding| Print Design| Web Design| UI Graphics",Graphic Designer
"SEO| WordPress| Content Management| Copywriting| Editing| Blogging| Social Media| Research",Content Writer
"Legal Research| Contract Law| Litigation| Compliance| Corporate Law| Intellectual Property| Drafting| Negotiation",Legal Counsel
"Excel| SQL| Power BI| Market Research| Data Analysis| Statistical Methods| Reporting| Visualization",Research Analyst
"Selenium| JIRA| Test Cases| Bug Tracking| Regression Testing| Automation| QA Methodologies| Postman",Quality Assurance Tester
"Market Analysis| B2B Sales| Lead Generation| Partnerships| Negotiation| CRM| Business Strategy| Pitching",Business Development Manager
"JIRA| Trello| MS Project| Agile| Documentation| Coordination| Risk Management| Reporting",Project Coordinator
"Cloud Architecture| Microservices| AWS| Azure| Kubernetes| System Design| Security| Scalability",Systems Architect
"CI/CD| Jenkins| Docker| Kubernetes| AWS| Terraform| Ansible| Linux",DevOps Engineer
"HTML| CSS| JavaScript| React| Angular| Responsive Design| UI Libraries| Figma",UI Developer
"QuickBooks| Excel| GAAP| Financial Reporting| Tax Preparation| Auditing| SAP| Reconciliation",Accountant
"Helpdesk| Troubleshooting| Active Directory| Windows OS| Hardware Support| Ticketing System| Remote Support| Linux",Technical Support Engineer
"Google Ads| Facebook Ads| SEO| Google Analytics| PPC| Conversion Optimization| A/B Testing| CRM",Digital Marketing Manager
"ERP| SAP| Logistics| Inventory Management| Forecasting| Data Analysis| Procurement| Six Sigma",Supply Chain Analyst
"Vendor Management| Budgeting| Event Planning| Coordination| Marketing| CRM| Negotiation| Logistics",Event Planner
"Media Relations| Press Releases| Crisis Management| Social Media| Branding| Copywriting| Influencer Marketing| Analytics",Public Relations Specialist
"Lab Testing| Quality Control| Medical Equipment| Data Recording| Compliance| Specimen Handling| Safety Protocols| Documentation",Medical Technologist
